区域,省份,级别,SGMW代码,经销商名称,对应内部代码
西北,新疆,A,9650027,阿克苏同创汽车销售服务有限公司,C-00000892
西北,陕西,A,9610030,汉中五菱汽车销售服务有限公司,C-00003978
西北,陕西,A,9610031,延安菱通汽车销售服务有限公司,C-00001774
西北,新疆,A,9650028,乌鲁木齐同创五菱汽车销售服务有限公司,C-00002089
西北,新疆,A,9650029,巴州恒鼎五菱汽车销售有限公司,C-20000042
西北,新疆,A,9650033,伊犁恒翰汽车销售有限公司,C-20000072
西北,新疆,A,B650001,新疆宝骏汽车销售有限公司,C-00003777
西北,新疆,A,9650009,奎屯新众汽车贸易有限公司,C-00003643
西北,新疆,A,9650017,哈密市亚飞商贸有限责任公司,C-80000395
西北,甘肃,A,9620017,张掖市鑫鼎商贸有限责任公司,C-00002598
西北,新疆,A,9650031,喀什同创汽车销售服务有限公司,C-20000339
西北,新疆,A,9650030,克拉玛依市华清汽车配件工业有限公司,C-80002027
西北,陕西,A,9610035,大荔县同创汽车贸易有限公司,C-00003616
西北,新疆,A,B650005,伊犁五菱宝骏汽车销售服务有限公司,C-20000363
西北,新疆,A,9650035,阿勒泰通菱汽车销售服务有限公司,C-20000346
中原,安徽,A,9340014,安徽金龙汽车销售有限责任公司,C-00000034
中原,山东,A,9370055,青岛五菱汽车销售有限公司,C-00000388
中原,山东,A,9370069,威海恒友汽车销售服务有限公司,C-00001241
中原,山东,A,9370028,临沂华舜汽车销售服务有限公司,C-00001111
中原,安徽,A,9340018,安徽省阜阳市物华汽车销售有限公司,C-00000036
中原,山东,A,9370077,烟台恒丰汽车销售有限公司,C-00000574
中原,山东,A,9370041,山东申科汽车销售服务集团有限公司,C-20000006
中原,山东,A,9370058,潍坊广潍上菱汽车销售服务有限公司,C-00001247
中原,山东,A,9370010,菏泽和信汽车销售有限公司,C-00000219
中原,山东,A,9370057,淄博友好汽车销售服务有限公司,C-00000666
中原,山东,A,9370065,泰安和信汽车销售服务有限公司,C-00001223
中原,江苏,A,9320033,南京长铃汽车销售服务有限公司,C-00001157
中原,山东,A,9370070,青岛宏源达汽车销售有限公司,C-00001813
中原,山东,A,9370071,青岛五菱汽车销售有限公司胶南分公司,C-00001177
中原,山东,A,9370030,山东和信汽车销售有限公司,C-00001709
中原,山东,A,9370042,青岛中豪五菱汽车销售有限公司,C-00000389
中原,安徽,A,9340038,宿州市新时代汽车销售有限公司,C-00000483
